Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14024_001,SE_A18005_001,SE_A09003_001
"06075030900","14000US06075030900","Census Tract 309","Census Tract 309, San Francisco County, California","ca","140","00","ACSSF","0009127",,,,,"06","075",,,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7103,7103,9924.482,0.71570486040862,7103,104,437,494,315,689,626,700,1177,970,657,714,220,7103,3162,128,18,3180,2,155,458,7103,6621,3000,128,17,3163,2,0,311,482,162,0,1,17,0,155,147,3843,3698,145,88584,2522.2972972973,32
"06075031000","14000US06075031000","Census Tract 310","Census Tract 310, San Francisco County, California","ca","140","00","ACSSF","0009128",,,,,"06","075",,,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3804,3804,12021.23,0.316440076170237,3804,197,166,214,101,256,415,449,512,665,564,156,109,3804,2073,56,0,1377,0,119,179,3804,3456,1894,56,0,1377,0,11,118,348,179,0,0,0,0,108,61,2054,2019,35,76271,2518.15642458101,35
"06075031100","14000US06075031100","Census Tract 311","Census Tract 311, San Francisco County, California","ca","140","00","ACSSF","0009129",,,,,"06","075",,,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6437,6437,15461.49,0.41632470884035,6437,409,185,230,232,568,994,1078,700,877,775,281,108,6437,3425,125,0,1827,12,696,352,6437,5189,2848,125,0,1812,12,66,326,1248,577,0,0,15,0,630,26,4014,3978,36,74913,2412.11734693878,32
"06075031201","14000US06075031201","Census Tract 312.01","Census Tract 312.01, San Francisco County, California","ca","140","00","ACSSF","0009130",,,,,"06","075",,,,"031201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690,6690,33834.43,0.197727557038874,6690,239,268,260,209,558,1204,873,1119,919,554,353,134,6690,1396,223,7,4095,0,697,272,6690,5643,1214,215,7,4080,0,0,127,1047,182,8,0,15,0,697,145,4027,3827,200,31986,1689.17197452229,34
"06075031202","14000US06075031202","Census Tract 312.02","Census Tract 312.02, San Francisco County, California","ca","140","00","ACSSF","0009131",,,,,"06","075",,,,"031202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,3394,28409.34,0.119467734985645,3394,247,144,155,129,358,587,397,532,431,271,82,61,3394,356,556,2,2022,20,106,332,3394,3033,221,556,0,2009,20,0,227,361,135,0,2,13,0,106,105,1876,1781,95,33362,1782.4,35
"06075031301","14000US06075031301","Census Tract 313.01","Census Tract 313.01, San Francisco County, California","ca","140","00","ACSSF","0009132",,,,,"06","075",,,,"031301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241,4241,24304.85,0.17449192814793,4241,63,169,256,84,299,596,643,557,651,410,333,180,4241,970,572,20,2287,0,17,375,4241,3835,787,572,0,2284,0,0,192,406,183,0,20,3,0,17,183,2312,2176,136,44197,1897.44408945687,35
"06075031302","14000US06075031302","Census Tract 313.02","Census Tract 313.02, San Francisco County, California","ca","140","00","ACSSF","0009133",,,,,"06","075",,,,"031302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6109,6109,23099.2,0.264468020701254,6109,378,132,279,261,571,1042,755,833,891,597,246,124,6109,1195,695,0,3503,0,421,295,6109,5087,665,686,0,3488,0,45,203,1022,530,9,0,15,0,376,92,3622,3515,107,36512,2200.95057034221,34
"06075031400","14000US06075031400","Census Tract 314","Census Tract 314, San Francisco County, California","ca","140","00","ACSSF","0009134",,,,,"06","075",,,,"031400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7096,7096,23851.43,0.297508328223915,7096,336,438,305,159,574,1416,780,940,1141,430,379,198,7096,1168,882,52,4055,20,629,290,7096,5822,792,788,26,4040,0,0,176,1274,376,94,26,15,20,629,114,3892,3741,151,32118,1864.22018348624,36
"06075032601","14000US06075032601","Census Tract 326.01","Census Tract 326.01, San Francisco County, California","ca","140","00","ACSSF","0009135",,,,,"06","075",,,,"032601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211,5211,32312.69,0.161267928654496,5211,206,195,210,227,361,1296,683,668,645,419,254,47,5211,1816,215,24,2600,40,138,378,5211,4627,1633,181,0,2443,40,0,330,584,183,34,24,157,0,138,48,3093,3038,55,45792,2101.33333333333,38
"06075032602","14000US06075032602","Census Tract 326.02","Census Tract 326.02, San Francisco County, California","ca","140","00","ACSSF","0009136",,,,,"06","075",,,,"032602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4753,4753,26074.55,0.182285014447943,4753,119,167,197,126,286,909,541,802,694,471,208,233,4753,1595,14,0,2852,0,124,168,4753,4449,1524,14,0,2852,0,0,59,304,71,0,0,0,0,124,109,2617,2530,87,49130,2156.93430656934,39
"06075032700","14000US06075032700","Census Tract 327","Census Tract 327, San Francisco County, California","ca","140","00","ACSSF","0009137",,,,,"06","075",,,,"032700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6898,6898,21150.22,0.32614320992993,6898,303,199,220,73,606,1259,767,981,1036,887,439,128,6898,2769,31,0,3442,72,148,436,6898,6427,2538,31,0,3391,72,0,395,471,231,0,0,51,0,148,41,4149,3980,169,58872,2350.89552238806,37
"06075032801","14000US06075032801","Census Tract 328.01","Census Tract 328.01, San Francisco County, California","ca","140","00","ACSSF","0009138",,,,,"06","075",,,,"032801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401,4401,19472.53,0.226010699663473,4401,141,126,220,56,232,999,332,625,651,426,368,225,4401,1219,127,0,2838,0,32,185,4401,4042,1036,127,0,2708,0,28,143,359,183,0,0,130,0,4,42,2397,2318,79,54055,2574.30441898527,40
"06075032802","14000US06075032802","Census Tract 328.02","Census Tract 328.02, San Francisco County, California","ca","140","00","ACSSF","0009139",,,,,"06","075",,,,"032802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4432,4432,20912.42,0.211931483852435,4432,148,140,142,149,373,886,580,664,424,586,242,98,4432,1326,33,12,2548,0,288,225,4432,4071,1293,33,12,2506,0,22,205,361,33,0,0,42,0,266,20,2668,2535,133,50587,2489.94708994709,35
"06075032901","14000US06075032901","Census Tract 329.01","Census Tract 329.01, San Francisco County, California","ca","140","00","ACSSF","0009140",,,,,"06","075",,,,"032901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615,5615,21644.27,0.2594220513763,5615,282,155,267,184,400,883,756,660,823,645,366,194,5615,1355,13,0,3723,28,276,220,5615,5232,1264,13,0,3717,28,17,193,383,91,0,0,6,0,259,27,3030,2908,122,49601,2164.45012787724,34
"06075032902","14000US06075032902","Census Tract 329.02","Census Tract 329.02, San Francisco County, California","ca","140","00","ACSSF","0009141",,,,,"06","075",,,,"032902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4457,4457,22876.69,0.194827157500344,4457,113,215,170,97,254,780,697,524,638,528,232,209,4457,1268,0,0,3085,0,19,85,4457,4320,1216,0,0,3019,0,0,85,137,52,0,0,66,0,19,0,2435,2369,66,48259,2459.4387755102,38
"06075033000","14000US06075033000","Census Tract 330","Census Tract 330, San Francisco County, California","ca","140","00","ACSSF","0009142",,,,,"06","075",,,,"033000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8127,8127,13998.68,0.580554813381375,8127,301,353,293,233,330,1897,997,1185,791,1167,290,290,8127,3336,60,0,3949,0,228,554,8127,7449,3011,60,0,3894,0,0,484,678,325,0,0,55,0,228,70,5122,4772,350,55931,2421.51658767773,37
"06075033100","14000US06075033100","Census Tract 331","Census Tract 331, San Francisco County, California","ca","140","00","ACSSF","0009143",,,,,"06","075",,,,"033100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3895,3895,11264.46,0.345777663834736,3895,146,237,190,119,212,439,437,595,571,457,283,209,3895,1558,31,0,1991,20,27,268,3895,3730,1452,17,0,1973,20,0,268,165,106,14,0,18,0,27,0,2091,2002,89,54135,2362.44131455399,37
"06075033201","14000US06075033201","Census Tract 332.01","Census Tract 332.01, San Francisco County, California","ca","140","00","ACSSF","0009144",,,,,"06","075",,,,"033201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551,4551,12141.22,0.374838802341941,4551,34,31,5,154,3676,243,100,96,91,54,35,32,4551,1747,349,17,1035,27,996,380,4551,2933,1342,322,0,994,27,13,235,1618,405,27,17,41,0,983,145,2741,2030,711,10334,1757.20930232558,31
"06075033203","14000US06075033203","Census Tract 332.03","Census Tract 332.03, San Francisco County, California","ca","140","00","ACSSF","0009145",,,,,"06","075",,,,"033203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3956,3956,23408.55,0.168998080299986,3956,73,72,63,96,1015,882,470,421,392,332,67,73,3956,2082,168,0,1245,0,351,110,3956,3341,1796,134,0,1220,0,118,73,615,286,34,0,25,0,233,37,2394,2259,135,37619,2288.55013550135,32
