"placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","category_tags"
222-222@5vg-7gr-py9,sg:b60fd731d0fc4146b70b0487bb1cb026,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.785953,-122.439774,1750 Divisadero St,San Francisco,CA,94115,US,+14153467193,"{ ""Mon"": [[""4:30"", ""18:30""]], ""Tue"": [[""4:30"", ""18:30""]], ""Wed"": [[""4:30"", ""18:30""]], ""Thu"": [[""4:30"", ""19:00""]], ""Fri"": [[""5:30"", ""18:30""]], ""Sat"": [[""5:00"", ""18:00""]], ""Sun"": [[""4:30"", ""18:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzw-228@5vg-7gt-zzz,sg:ef383de66c0e4233a93d2c8c3926182d,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.777086,-122.393706,298 King St,San Francisco,CA,94107,US,,"{ ""Mon"": [[""5:30"", ""19:00""]], ""Tue"": [[""5:30"", ""19:00""]], ""Wed"": [[""5:30"", ""19:00""]], ""Thu"": [[""5:30"", ""19:00""]], ""Fri"": [[""5:30"", ""19:00""]], ""Sat"": [[""5:30"", ""19:00""]], ""Sun"": [[""5:30"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzw-22s@5vg-7gt-brk,sg:cfd48c898c7c408d999cf9b0396bae56,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.790852,-122.402538,155 Montgomery St # 161,San Francisco,CA,94104,US,+14155768810,"{ ""Mon"": [[""5:00"", ""18:30""]], ""Tue"": [[""5:00"", ""18:30""]], ""Wed"": [[""5:00"", ""18:30""]], ""Thu"": [[""5:00"", ""18:30""]], ""Fri"": [[""5:00"", ""18:30""]], ""Sat"": [], ""Sun"": [] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
zzy-222@5vg-7gv-p5f,sg:1a24b55a6e854aa895ae18c6039d86e2,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.796751,-122.422173,2165 Polk St,San Francisco,CA,94109,US,+14159211351,"{ ""Mon"": [[""5:00"", ""19:30""]], ""Tue"": [[""5:00"", ""19:30""]], ""Wed"": [[""5:00"", ""19:30""]], ""Thu"": [[""5:00"", ""19:30""]], ""Fri"": [[""5:00"", ""19:30""]], ""Sat"": [[""5:30"", ""19:30""]], ""Sun"": [[""5:00"", ""19:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
223-225@5vg-7gv-47q,sg:a300438049be48a59742dbc1c60cac44,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.78701,-122.407345,170 Ofarrell St,San Francisco,CA,94102,US,+14152964328,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22q-223@5vg-7gz-8gk,sg:e474ee243e534035bb67d969b98a440d,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.773435,-122.438876,310 Broderick St,San Francisco,CA,94117,US,+14155938830,"{ ""Mon"": [[""5:00"", ""20:00""]], ""Tue"": [[""5:00"", ""20:00""]], ""Wed"": [[""5:00"", ""20:00""]], ""Thu"": [[""5:00"", ""20:00""]], ""Fri"": [[""5:00"", ""20:00""]], ""Sat"": [[""5:30"", ""20:00""]], ""Sun"": [[""5:30"", ""20:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
zzw-222@5vg-7fb-3kf,sg:6d0731fa8c8e45f9b6b7b123e4ab96bf,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.808396,-122.412872,49 Jefferson St # P,San Francisco,CA,94133,US,+14157880173,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzy-222@5vg-7gq-7qz,sg:cf2a35aeb1b242b6b73fa2f258f4ff14,223-222@5vg-7gq-7qz,sg:5a2081d6e58e44b081835a245b9317a9,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.777066,-122.417322,1390 Market Street 107 Fox Plaza,San Francisco,CA,94102,US,+14158638332,"{ ""Mon"": [[""5:00"", ""19:00""]], ""Tue"": [[""5:00"", ""19:00""]], ""Wed"": [[""5:00"", ""19:00""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""5:30"", ""17:30""]], ""Sat"": [[""5:30"", ""17:30""]], ""Sun"": [[""5:00"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
226-226@5vg-7gw-d5f,sg:16723bd3df1842ddb875966813159755,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.788664,-122.421671,1400 Van Ness Ave,San Francisco,CA,94109,US,+14152307822,"{ ""Mon"": [[""5:00"", ""19:00""]], ""Tue"": [[""5:00"", ""19:00""]], ""Wed"": [[""5:00"", ""19:00""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""5:00"", ""20:00""]], ""Sat"": [[""5:30"", ""20:00""]], ""Sun"": [[""5:30"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
223-223@5vg-7gv-3h5,sg:23a6083dd0d74422a531825cab528fa9,223-224@5vg-7gv-3h5,sg:d7b09e5ac2cc4b1da20b31ad4b320c1a,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.784511,-122.403956,789 Mission St,San Francisco,CA,94103,US,,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""7:00"", ""22:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22j-222@5vg-7gs-djv,sg:6a63d6c8240445aba0205f5cc26d3316,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.775731,-122.446236,1799 Fulton St,San Francisco,CA,94117,US,+14154748930,"{ ""Mon"": [[""5:00"", ""19:30""]], ""Tue"": [[""5:00"", ""19:30""]], ""Wed"": [[""5:00"", ""19:30""]], ""Thu"": [[""5:00"", ""20:00""]], ""Fri"": [[""5:00"", ""20:30""]], ""Sat"": [[""5:00"", ""19:30""]], ""Sun"": [[""5:00"", ""19:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22y-222@5vg-838-ndv,sg:87864180f86b4a92a49235df91e09348,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.739708,-122.467383,100 West Portal Ave,San Francisco,CA,94127,US,+14156648370,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzw-222@5vg-82j-n5z,sg:18c0530097c24dd89b69781695914281,228-222@5vg-82j-jn5,sg:799f2aaa0889405c9c7bb44a3a03adbb,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.725146,-122.461317,1830 Ocean Ave,San Francisco,CA,94112,US,,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""7:00"", ""21:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
223-222@5vg-7gq-7nq,sg:a64ce61ed4343913a6369254c7055bcc,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.77723,-122.419324,150 Van Ness Ave,San Francisco,CA,94102,US,+14155587715,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
229-222@5vg-7gt-cqz,sg:32866abd36204e838093bc27256e11e4,zzw-225@5vg-7gt-cqz,sg:21122771cddb48e7a942be9ff5e609ed,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.794685,-122.398879,2 Embarcadero Ctr Ste R2113,San Francisco,CA,94111,US,+14158691744,"{ ""Mon"": [[""5:30"", ""18:30""]], ""Tue"": [[""5:30"", ""18:30""]], ""Wed"": [[""5:30"", ""18:30""]], ""Thu"": [[""5:30"", ""18:30""]], ""Fri"": [[""5:30"", ""18:30""]], ""Sat"": [], ""Sun"": [] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
